"product_A"	"product_B"	"price"	"growth_rate"	"customer_name"	"region"	"sales_target"	"order_date"	"employee_id"	"feedback"
"unknown"	9999	"4,000"	"40%"	" Eve "	"south"	"unavailable"	"2021-01-10"	"ID_10"	"nan"
"100"	50	"3,500"	"50%"	" Eve "	"west"	"30000"	"nan"	"ID_3"	"average"
"nan"	50	"1,000"	"10%"	"dave"	"west"	"30000"	"2022-03-22"	"ID_9"	"poor"
"nan"	150	"1,000"	"50%"	"bob"	"west"	"5000"	"nan"	"ID_13"	"nan"
"200"	9999	"4,000"	"40%"	" Eve "	"East"	"5000"	"2021-06-15"	"ID_18"	"nan"
"nan"	9999	"3,500"	"40%"	" CHARLIE "	"west"	"10000"	"2022-03-22"	"ID_15"	"nan"
"200"	150	"3,500"	"40%"	"bob"	"North"	"5000"	"2021-06-15"	"ID_4"	"poor"
"100"	250	"5,750"	"50%"	" CHARLIE "	"south south"	"unavailable"	"2022-03-22"	"ID_15"	"poor"
"unknown"	50	"3,500"	"40%"	" Alice "	"North"	"30000"	"2021-01-10"	"ID_2"	"excellent"
"unknown"	NA	"3,500"	"nan"	"bob"	"North"	"10000"	"2021-01-10"	"ID_15"	"average"
"unknown"	50	"3,500"	"50%"	" Eve "	"west"	"5000"	"2021-01-10"	"ID_8"	"good"
"nan"	50	"2,500"	"40%"	"bob"	"south south"	"unavailable"	"nan"	"ID_8"	"nan"
"100"	250	"5,750"	"nan"	"bob"	"south south"	"unavailable"	"2021-06-15"	"ID_17"	"excellent"
"nan"	50	"1,000"	"30%"	"bob"	"south south"	"5000"	"nan"	"ID_12"	"good"
"nan"	150	"4,000"	"40%"	"bob"	"East"	"30000"	"2021-01-10"	"ID_19"	"excellent"
"100"	150	"1,000"	"50%"	" CHARLIE "	"west"	"5000"	"2021-06-15"	"ID_10"	"poor"
"100"	9999	"5,750"	"20%"	" Alice "	"south south"	"10000"	"2021-01-10"	"ID_9"	"nan"
"100"	NA	"4,000"	"40%"	"dave"	"East"	"5000"	"nan"	"ID_5"	"good"
"100"	50	"5,750"	"20%"	"bob"	"south"	"unavailable"	"nan"	"ID_6"	"good"
"unknown"	50	"3,500"	"nan"	" Eve "	"south"	"5000"	"nan"	"ID_20"	"good"
"300"	250	"4,000"	"30%"	"bob"	"East"	"30000"	"2021-01-10"	"ID_2"	"good"
"300"	150	"3,500"	"10%"	" Eve "	"East"	"20000"	"2021-06-15"	"ID_13"	"good"
"100"	NA	"1,000"	"30%"	" CHARLIE "	"west"	"5000"	"2021-06-15"	"ID_6"	"excellent"
"300"	9999	"1,000"	"40%"	" Eve "	"west"	"30000"	"2021-01-10"	"ID_5"	"nan"
"300"	150	"4,000"	"20%"	"dave"	"south"	"30000"	"2021-06-15"	"ID_1"	"poor"
"100"	9999	"4,000"	"20%"	" Alice "	"south south"	"unavailable"	"2021-01-10"	"ID_6"	"poor"
"300"	250	"5,750"	"50%"	" Eve "	"south"	"30000"	"2021-06-15"	"ID_6"	"poor"
"nan"	250	"5,750"	"20%"	" Eve "	"south south"	"30000"	"2022-03-22"	"ID_16"	"poor"
"200"	50	"3,500"	"50%"	" Alice "	"south south"	"30000"	"2022-03-22"	"ID_4"	"excellent"
"200"	NA	"4,000"	"nan"	"dave"	"west"	"30000"	"nan"	"ID_11"	"average"
"100"	9999	"1,000"	"10%"	"bob"	"North"	"10000"	"2022-03-22"	"ID_9"	"nan"
